OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
DNAJC17,ELP1,EXOSC2,CUL1,DDX51,DENR,DR1,DDX18,COPE
DNAJC9,ELP3,EXOSC4,CUL3,DDX52,DGCR8,DSN1,DDX20,COPG1
DNM2,ELP5,EXOSC5,CWC22,DDX54,DHDDS,DTL,DDX21,COPS2
DONSON,ELP6,EXOSC6,CWF19L2,DDX55,DHX15,DTYMK,DDX23,COPS3
DPAGT1,EMC1,EXOSC8,DAD1,DDX56,DHX16,DUT,DDX24,COPS4
DPH3,EMC3,FARSB,DAP3,DDX59,DHX33,DYNC1H1,DDX27,COPS5
DTL,EMC7,FAU,DARS1,DDX6,DHX36,DYNC1I2,DDX41,COPS6
DTYMK,EP400,FBL,DBF4,DENR,DHX37,DYNLRB1,DDX42,COPS8
DUT,EPRS,FBXO5,DBR1,DGCR8,DHX38,EAPP,DDX46,COPZ1
DUX4,ERH,FCF1,DCLRE1B,DHDDS,DHX8,EBNA1BP2,DDX47,COQ4
DYNC1H1,ESF1,FEN1,DCTN2,DHX15,DHX9,ECD,DDX49,COX17
DYNC1I2,ESPL1,FNTB,DCTN3,DHX16,DIMT1,ECT2,DDX5,COX6A1
DYNLRB1,ETF1,FOXD4,DCTN4,DHX33,DIS3,EEF1B2,DDX51,COX7B
EBNA1BP2,EWSR1,GAPDH,DCTN5,DHX36,DKC1,EEF1G,DDX52,COX7C
ECD,EXOSC10,GARS,DCTN6,DHX37,DMAP1,EEF2,DDX54,CPSF1
ECT2,EXOSC2,GEMIN5,DDB1,DHX38,DNAJA3,EEF2KMT,DDX55,CPSF2
EEF1A1,EXOSC4,GEMIN6,DDOST,DHX8,DNAJC17,EFL1,DDX56,CPSF3
EEF1G,EXOSC6,GGPS1,DDX10,DIMT1,DNAJC8,EFTUD2,DDX59,CPSF4
EEF2,EXOSC8,GGTLC2,DDX11,DIS3,DNM2,EIF1,DDX6,CPSF6
EFL1,FARSA,GINS1,DDX18,DKC1,DNMT1,EIF1AD,DENR,CRCP
EFTUD2,FARSB,GINS2,DDX20,DMAP1,DNTTIP2,EIF1AX,DGCR8,CRKL
EIF1AD,FAU,GINS3,DDX21,DNAJA3,DONSON,EIF2B1,DHDDS,CRLS1
EIF1AX,FBL,GINS4,DDX23,DNAJC17,DPAGT1,EIF2B2,DHX15,CRNKL1
EIF2B1,FBXO5,GMPS,DDX24,DNAJC8,DPH3,EIF2B3,DHX16,CSE1L
