OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
ZBTB11,,LAS1L,SLC25A3,TMEM258,THOC7,,TARDBP,RPL27A
ZMAT2,,LCE1E,SLC35B1,TNPO3,TICRR,,TARS1,RPL28
ZMAT5,,LONP1,SLC39A7,TOMM20,TIMELESS,,TBCA,RPL3
ZNF131,,LSM2,SLC7A6OS,TOMM22,TIMM13,,TBCB,RPL30
ZNF207,,LSM3,SLC9B1,TOMM40,TIMM23,,TBCC,RPL31
ZNF492,,LSM4,SLU7,TONSL,TIMM44,,TBCD,RPL32
ZNF559,,LSM5,SMARCA5,TOP1,TINF2,,TBL3,RPL35
ZNF720,,LSM6,SMARCE1,TOP2A,TIPIN,,TBP,RPL36
ZNF830,,LSM7,SMC1A,TOP3A,TLK2,,TCERG1,RPL36AL
ZNHIT2,,LUC7L3,SMC2,TOPBP1,TMA16,,TCP1,RPL37
ZNRD1,,LYRM4,SMC3,TP53RK,TMEM183A,,TEX10,RPL37A
ZPR1,,MAD2L1,SMC4,TPR,TMEM258,,TFIP11,RPL38
ZRSR2,,MAK16,SMC5,TPT1,TNPO3,,TGS1,RPL4
AASDHPPT,,MARS,SMC6,TPX2,TOMM20,,THAP1,RPL5
ABT1,,MASTL,SMG5,TRAIP,TOMM22,,THG1L,RPL7
AFM,,MAT2A,SMG6,TRAPPC1,TOMM40,,THOC1,RPL7A
AGAP5,,MCM2,SMNDC1,TRAPPC11,TONSL,,THOC2,RPL8
AGAP6,,MCM3AP,SMU1,TRAPPC3,TOP1,,THOC3,RPLP0
ANAPC5,,MCM5,SNAPC1,TRAPPC4,TOP2A,,THOC5,RPLP1
ARFRP1,,MCM6,SNAPC2,TRAPPC5,TOP3A,,THOC7,RPLP2
ARPC4,,MCM7,SNAPC3,TRAPPC8,TOPBP1,,TICRR,RPN1
ASH2L,,MDN1,SNAPC4,TRIM37,TP53RK,,TIMELESS,RPN2
ATP13A1,,MED14,SNAPC5,TRMT112,TPR,,TIMM10,RPP14
ATP5F1A,,MED20,SNF8,TRMT5,TPT1,,TIMM13,RPP21
ATP5PB,,MED22,SNIP1,TRNT1,TPX2,,TIMM23,RPP30
ATP6V0D1,,MED27,SNRNP200,TRRAP,TRAPPC1,,TIMM44,RPP38
BARD1,,MED28,SNRNP25,TSEN2,TRAPPC11,,TIMM9,RPP40
BCAS2,,MED30,SNRNP27,TSEN54,TRAPPC3,,TINF2,RPS11
BDP1,,MED31,SNRNP35,TSG101,TRAPPC4,,TIPIN,RPS12
C15orf41,,MED4,SNRNP40,TSR1,TRAPPC5,,TLK2,RPS13
C18orf21,,MED6,SNRNP70,TSR2,TRAPPC8,,TMA16,RPS14
CARS2,,MFAP1,SNRPA1,TTC1,TRIAP1,,TMED10,RPS15
CENPL,,MMS22L,SNRPB,TTC27,TRIM37,,TMED2,RPS15A
CENPM,,MPHOSPH10,SNRPC,TTF1,TRMT112,,TMEM183A,RPS16
CEP97,,MTBP,SNRPD1,TTF2,TRMT5,,TMEM258,RPS18
CLEC18C,,MYC,SNRPD2,TTI1,TRNT1,,TNPO3,RPS19
COG4,,NAA38,SNRPF,TTI2,TRPM7,,TOMM22,RPS19BP1
CTAGE8,,NAA50,SNU13,TTK,TRRAP,,TOMM40,RPS20
CTU1,,NAPA,SNUPN,TUBA1B,TSEN2,,TONSL,RPS21
DARS1,,NARFL,SNW1,TUBB,TSEN54,,TOP1,RPS23
DBF4,,NARS,SOD1,TUBG1,TSG101,,TOP2A,RPS24
DCAF13,,NAT10,SON,TUBG2,TSR1,,TOP3A,RPS25
DDX20,,NCAPG,SPAG5,TUBGCP2,TSR2,,TOPBP1,RPS27A
DDX59,,NCBP1,SPATA5,TUBGCP3,TTC1,,TP53RK,RPS29
DHX9,,NCBP2,SPATA5L1,TUBGCP4,TTC27,,TPR,RPS3
DIMT1,,NDC80,SPC24,TUBGCP5,TTF1,,TPT1,RPS4X
DNAJA3,,NEDD1,SPC25,TUBGCP6,TTI1,,TPX2,RPS5
DNLZ,,NEDD8,SPCS2,TUT1,TTI2,,TRAPPC1,RPS6
DROSHA,,NHP2L1,SPCS3,TXN,TTK,,TRAPPC11,RPS7
E4F1,,NIFK,SPDL1,TXNL4A,TUBA1B,,TRAPPC3,RPS8
EEF1B2,,NIP7,SPDYE1,TXNL4B,TUBB,,TRAPPC4,RPS9
EIF1,,NKAP,SPOUT1,U2AF1,TUBG1,,TRAPPC5,RPTOR
EIF2B5,,NMD3,SPRR2G,U2AF2,TUBGCP2,,TRAPPC8,RRM1
ELOA3B,,NOL10,SPRTN,U2SURP,TUBGCP3,,TRIAP1,RRM2
ERCC3,,NOL6,SPRYD4,UBA1,TUBGCP4,,TRIM37,RRP1
EXOC7,,NOP16,SPTLC1,UBA2,TUBGCP5,,TRMT112,RRP12
FURIN,,NOP56,SRBD1,UBA52,TUBGCP6,,TRMT5,RRP15
GAR1,,NOP58,SRCAP,UBAP1,TUT1,,TRNT1,RRP7A
GBGT1,,NPIPA5,SRFBP1,UBE2C,TXN,,TRRAP,RRP9
GFER,,NPLOC4,SRP14,UBE2I,TXNL4A,,TSEN2,RRS1
GLE1,,NRDE2,SRP19,UBE2L3,TXNL4B,,TSEN54,RSL1D1
GNL3,,NRF1,SRP54,UBL5,U2AF1,,TSG101,RTCB
GOLGA8N,,NSA2,SRP68,UBQLN4,U2AF2,,TSR1,RTEL1
GPX4,,NSF,SRP72,UBR4,U2SURP,,TSR2,RTF1
GTF3C1,,NSL1,SRP9,UBTF,UBA1,,TTC1,RTF2
GTF3C4,,NUBP1,SRPRA,UFD1,UBA2,,TTC27,RUVBL1
H2AZ1,,NUDT21,SRPRB,UPF1,UBA3,,TTF1,RUVBL2
H3-3B,,NUF2,SRRM1,UPF2,UBA52,,TTF2,SACM1L
HARS1,,NUP133,SRRT,UQCRQ,UBA6,,TTI1,SAE1
HNRNPL,,NUP160,SRSF1,URB1,UBAP1,,TTI2,SAMM50
HSCB,,NUP214,SRSF10,URB2,UBE2C,,TTK,SAP18
HSPA8,,NUP85,SRSF11,URI1,UBE2I,,TUBA1B,SAP30BP
HSPE1-MOB4,,NUP88,SRSF2,URM1,UBE2L3,,TUBB,SARS1
HTRA2,,NUP93,SRSF3,USP10,UBE2M,,TUBG1,SARS2
HUS1,,NUS1,SRSF6,USP36,UBE2N,,TUBGCP2,SART1
IARS1,,NUTF2,SRSF7,USP37,UBL5,,TUBGCP3,SART3
IL1B,,NVL,SS18L2,USP39,UBQLN4,,TUBGCP4,SASS6
INTS2,,OGT,SSB,USP5,UBR4,,TUBGCP5,SBDS
INTS8,,ORAOV1,SSRP1,USP7,UBTF,,TUBGCP6,SBNO1
ISG20L2,,ORC6,SSU72,USP8,UFD1,,TUT1,SCAP
KANSL2,,PABPN1,STIL,USPL1,UPF1,,TXN,SCD
KARS1,,PAFAH1B1,STRAP,UTP11,UPF2,,TXNL4A,SCFD1
KNL1,,PAM16,STX18,UTP15,UQCRFS1,,TXNL4B,SDAD1
LARS1,,PCBP1,STX5,UTP18,UQCRQ,,U2AF1,SDE2
LARS2,,PCNA,SUDS3,UTP20,URB1,,U2AF2,SDHC
LIN37,,PCYT1A,SUGP1,UTP23,URB2,,U2SURP,SDHD
LSM11,,PDCD7,SUGT1,UTP25,URI1,,UBA1,SEC13
MAD2L1,,PDRG1,SUPT16H,UTP4,URM1,,UBA2,SEC16A
MAX,,PES1,SUPT5H,UTP6,USP10,,UBA3,SEC61A1
MED21,,PFDN2,SUPT6H,UXT,USP36,,UBA52,SEC61G
MIOS,,PFDN6,SUPV3L1,VARS1,USP37,,UBAP1,SEC63
MRPL18,,PGAM4,SURF6,VCP,USP39,,UBE2C,SEH1L
MRPS24,,PHB,SYF2,VDAC1,USP5,,UBE2D3,SEM1
NAA20,,PHB2,SYMPK,VIRMA,USP8,,UBE2I,SENP6
NAA25,,PHF5A,SYS1,VMP1,USPL1,,UBE2L3,SEPHS2
NAA30,,PISD,SYVN1,VPS13D,UTP11,,UBE2M,SERBP1
NIPBL,,PKMYT1,TADA2A,VPS16,UTP15,,UBL5,SETD1A
NOM1,,PLK1,TAF1,VPS18,UTP18,,UBR4,SF1
NUP153,,PLK4,TAF10,VPS25,UTP20,,UBTF,SF3A1
ORC1,,PMF1,TAF12,VPS28,UTP23,,UFD1,SF3A2
PA2G4,,PMF1-BGLAP,TAF13,VPS33A,UTP25,,UNC50,SF3A3
PCDHGA4,,PMPCB,TAF1A,VPS37A,UTP3,,UPF1,SF3B1
PHAX,,POLA2,TAF1B,VPS52,UTP4,,UPF2,SF3B2
POLD2,,POLD1,TAF1C,VPS53,UTP6,,URB1,SF3B3
PPP1CB,,POLD2,TAF1D,VPS72,UXT,,URB2,SF3B4
PSMB1,,POLD3,TAF2,WARS1,VARS1,,URI1,SF3B5
PSMC4,,POLE,TAF5,WBP1,VCP,,URM1,SF3B6
PSMD8,,POLE2,TAF6,WBP11,VDAC1,,USP10,SFPQ
PSTK,,POLR1B,TAF7,WDHD1,VIRMA,,USP36,SFSWAP
PTMA,,POLR1C,TAF8,WDR12,VMP1,,USP37,SGF29
QARS1,,POLR2A,TANGO6,WDR18,VPS13D,,USP39,SGO1
RBX1,,POLR2B,TARDBP,WDR25,VPS18,,USP5,SHQ1
REV3L,,POLR2C,TARS1,WDR3,VPS25,,USP7,SIN3A
RFC4,,POLR2D,TBCA,WDR33,VPS28,,USP8,SKA1
RIF1,,POLR2E,TBCB,WDR43,VPS72,,USPL1,SKA2
RPL13A,,POLR2F,TBCC,WDR46,WARS1,,UTP11,SKA3
RPL29,,POLR2G,TBCD,WDR5,WBP1,,UTP15,SKIC8
RPL30,,POLR2H,TBCE,WDR55,WBP11,,UTP18,SKP1
RPL35A,,POLR2I,TBL3,WDR7,WDHD1,,UTP20,SKP2
RPP38,,POLR2K,TBP,WDR74,WDR12,,UTP23,SLBP
RPS10,,POLR2L,TCERG1,WDR75,WDR18,,UTP25,SLC25A3
RPS21,,POLR3A,TCP1,WDR77,WDR25,,UTP4,SLC35B1
RPS26,,POLR3B,TEFM,WEE1,WDR26,,UTP6,SLC39A10
RPS27,,POLR3F,TELO2,WNK1,WDR3,,UXT,SLC39A7
RRP36,,POLR3K,TEX10,WTAP,WDR33,,VARS1,SLC3A2
RRP9,,POP5,TFB2M,XAB2,WDR43,,VCP,SLC7A6OS
SARS1,,PPAN,TFIP11,XPO1,WDR46,,VDAC1,SLC9B1
SKA1,,PPIL2,TGS1,XRCC5,WDR5,,VIRMA,SLU7
SKP1,,PPP1CB,THG1L,XRCC6,WDR55,,VMP1,SMARCB1
SMC5,,PPWD1,THOC1,XRN2,WDR74,,VPS13D,SMARCE1
SMC6,,PRAMEF6,THOC2,YAE1,WDR75,,VPS18,SMC1A
SPATA31A7,,PRC1,THOC3,YARS1,WDR77,,VPS25,SMC2
SPDL1,,PRELID1,THOC5,YBX1,WDR82,,VPS28,SMC3
SRP9,,PRIM1,THOC7,YEATS2,WEE1,,VPS33A,SMC4
SRRM2,,PRMT1,TICRR,YEATS4,WTAP,,WARS1,SMC5
SRRT,,PRPF19,TIMELESS,YJU2,XAB2,,WBP11,SMC6
SRSF10,,PRPF31,TIMM10,YKT6,XPO1,,WDHD1,SMG5
SRSF6,,PRPF38A,TIMM13,YRDC,XRCC5,,WDR12,SMG6
ST20-MTHFS,,PRPF38B,TIMM23,YTHDC1,XRCC6,,WDR18,SMG7
SUDS3,,PRPF4,TIMM44,ZBTB11,XRN2,,WDR25,SMNDC1
TAF1B,,PRPF8,TIMM9,ZBTB17,YAE1,,WDR3,SMU1
TBC1D3F,,PSMA1,TINF2,ZBTB8OS,YARS1,,WDR33,SNAP23
THAP11,,PSMA2,TIPIN,ZC3H8,YARS2,,WDR43,SNAPC1
TIMM29,,PSMA3,TLCD1,ZCCHC9,YBX1,,WDR46,SNAPC2
TMEM189,,PSMA4,TLK2,ZCRB1,YEATS4,,WDR5,SNAPC3
TNFRSF13C,,PSMA5,TMA16,ZFAND5,YJU2,,WDR55,SNAPC4
TP53RK,,PSMA6,TMED10,ZMAT2,YJU2B,,WDR7,SNAPC5
TRMT5,,PSMA7,TMED2,ZMAT5,YKT6,,WDR74,SNF8
TTF1,,PSMB1,TMEM183A,ZNF131,YRDC,,WDR75,SNIP1
TUBA1B,,PSMB2,TMEM258,ZNF207,YTHDC1,,WDR77,SNRNP200
TUBE1,,PSMB3,TNPO3,ZNF335,ZBTB11,,WDR82,SNRNP25
U2AF1,,PSMB4,TOMM20,ZNF492,ZBTB17,,WEE1,SNRNP27
UBA52,,PSMB5,TOMM22,ZNF574,ZBTB8OS,,WNK1,SNRNP35
UQCRC1,,PSMB6,TOMM40,ZNF830,ZC3H13,,WTAP,SNRNP40
UQCRQ,,PSMB7,TONSL,ZNHIT2,ZC3H18,,XAB2,SNRNP70
UTP18,,PSMC1,TOP1,ZNHIT6,ZC3H8,,XPO1,SNRPA1
WASF2,,PSMC2,TOP2A,ZPR1,ZCCHC9,,XRCC5,SNRPB
WDR33,,PSMC3,TOP3A,,ZCRB1,,XRCC6,SNRPB2
WDR59,,PSMC4,TOPBP1,,ZMAT2,,XRN2,SNRPC
WDR70,,PSMC6,TP53RK,,ZMAT5,,YAE1,SNRPD1
XRN1,,PSMD1,TPI1,,ZNF131,,YARS1,SNRPD2
YARS1,,PSMD11,TPR,,ZNF143,,YARS2,SNRPF
YBX1,,PSMD12,TPRKB,,ZNF207,,YBX1,SNU13
YY1,,PSMD13,TPT1,,ZNF335,,YEATS4,SNUPN
ZFP82,,PSMD14,TPX2,,ZNF407,,YJU2,SNW1
ZNF84,,PSMD2,TRAIP,,ZNF492,,YKT6,SOD1
AAMP,,PSMD3,TRAPPC1,,ZNF593,,YPEL5,SOD2
AATF,,PSMD6,TRAPPC11,,ZNF830,,YRDC,SON
ACIN1,,PSMG3,TRAPPC3,,ZNHIT2,,YTHDC1,SPAG5
ADAR,,PUF60,TRAPPC4,,ZNHIT6,,ZBTB11,SPATA5
ADSS,,PWP2,TRAPPC5,,ZPR1,,ZBTB17,SPATA5L1
AK2,,QARS,TRAPPC8,,,,ZBTB8OS,SPC24
ALG1L,,RABGGTB,TRIAP1,,,,ZC3H8,SPC25
ALYREF,,RACGAP1,TRIM37,,,,ZCCHC9,SPCS2
ANAPC10,,RAD51,TRMT112,,,,ZMAT2,SPCS3
AP2M1,,RAE1,TRMT5,,,,ZMAT5,SPDL1
ARF4,,RAN,TRNT1,,,,ZNF131,SPDYE1
ATP1B3,,RANGAP1,TRPM7,,,,ZNF207,SPOUT1
ATP5A1,,RBBP4,TRRAP,,,,ZNF335,SPRR2G
ATP5D,,RBBP6,TSEN2,,,,ZNF492,SPRTN
ATP5L,,RBM14,TSEN54,,,,ZNF830,SPRYD4
ATP6V1C1,,RBM17,TSG101,,,,ZNHIT2,SPTLC1
ATP6V1D,,RBM25,TSR1,,,,ZNHIT6,SRBD1
ATP6V1H,,RBMX,TSR2,,,,ZPR1,SRCAP
ATXN10,,RBX1,TTC1,,,,,SRF
BCCIP,,RCC1,TTC27,,,,,SRFBP1
BCL2L2-PABPN1,,RCL1,TTF1,,,,,SRP14
BCLAF1,,RFC3,TTF2,,,,,SRP19
BET1,,RFC4,TTI1,,,,,SRP54
BNIP1,,RFC5,TTI2,,,,,SRP68
BUB1,,RGPD6,TTK,,,,,SRP72
C12orf45,,RHEB,TUBA1B,,,,,SRP9
C1orf131,,RIOK1,TUBB,,,,,SRPRA
C21orf59,,RIOK2,TUBG1,,,,,SRPRB
C9orf114,,RNF113A,TUBGCP2,,,,,SRRM1
CAD,,RNGTT,TUBGCP3,,,,,SRRT
CASC5,,RPA1,TUBGCP4,,,,,SRSF1
CBFB,,RPA2,TUBGCP5,,,,,SRSF10
CBWD1,,RPA3,TUBGCP6,,,,,SRSF11
CBWD3,,RPAP1,TUT1,,,,,SRSF2
CCDC94,,RPAP2,TXN,,,,,SRSF3
CCT7,,RPF2,TXNL4A,,,,,SRSF6
CDC26,,RPL10A,TXNL4B,,,,,SRSF7
CENPC,,RPL11,U2AF1,,,,,SS18L2
CENPE,,RPL12,U2AF2,,,,,SSB
CHCHD3,,RPL13,U2SURP,,,,,SSRP1
CIRH1A,,RPL13A,UBA1,,,,,SSU72
CKS2,,RPL14,UBA2,,,,,STIL
CLSPN,,RPL15,UBA3,,,,,STRAP
COPS2,,RPL17,UBA52,,,,,STX18
COX17,,RPL18,UBAP1,,,,,STX5
COX7B,,RPL18A,UBE2C,,,,,SUDS3
CPSF3L,,RPL19,UBE2I,,,,,SUGP1
CPSF6,,RPL21,UBE2L3,,,,,SUGT1
CSNK1A1,,RPL22,UBE2M,,,,,SUPT16H
CTNNB1,,RPL23,UBE2N,,,,,SUPT5H
CTR9,,RPL23A,UBL5,,,,,SUPT6H
CUL3,,RPL24,UBQLN4,,,,,SUPV3L1
DAP3,,RPL26,UBR4,,,,,SURF6
DCTN3,,RPL27,UBTF,,,,,SYF2
DDX39B,,RPL27A,UFD1,,,,,SYMPK
DDX46,,RPL3,UPF1,,,,,SYS1
DDX52,,RPL30,UPF2,,,,,TACC3
DEFB129,,RPL31,UQCRFS1,,,,,TADA2A
DENR,,RPL32,URB1,,,,,TAF1
DGCR14,,RPL34,URB2,,,,,TAF10
DGCR8,,RPL35,URI1,,,,,TAF12
DHFR,,RPL35A,URM1,,,,,TAF1A
DHFRL1,,RPL36,USE1,,,,,TAF1B
DHODH,,RPL36A,USP10,,,,,TAF1C
DHX16,,RPL37A,USP36,,,,,TAF1D
DHX36,,RPL38,USP37,,,,,TAF2
DIEXF,,RPL4,USP39,,,,,TAF5
DLD,,RPL5,USP5,,,,,TAF6
DLST,,RPL6,USP7,,,,,TAF7
DNAJC11,,RPL7,USP8,,,,,TAF8
DNMT1,,RPL7A,USPL1,,,,,TAMM41
DPY30,,RPL7L1,UTP11,,,,,TANGO6
DR1,,RPL8,UTP15,,,,,TARDBP
DSN1,,RPLP0,UTP18,,,,,TARS1
EGR2,,RPLP1,UTP20,,,,,TARS2
EIF2S2,,RPLP2,UTP23,,,,,TBCA
EIF3C,,RPP38,UTP25,,,,,TBCB
EIF5AL1,,RPS11,UTP3,,,,,TBCC
EIF5B,,RPS12,UTP4,,,,,TBCD
ELOF1,,RPS13,UTP6,,,,,TBCE
ENY2,,RPS14,UXT,,,,,TBL3
EXOSC3,,RPS15,VARS1,,,,,TBP
EXOSC9,,RPS15A,VCP,,,,,TCERG1
FAM103A1,,RPS16,VDAC1,,,,,TCP1
FAM86B1,,RPS18,VIRMA,,,,,TEFM
FAM96B,,RPS19,VMP1,,,,,TELO2
FARS2,,RPS2,VPS13D,,,,,TEX10
FBXW11,,RPS20,VPS16,,,,,TFAM
FDPS,,RPS21,VPS18,,,,,TFB2M
FDX1L,,RPS23,VPS25,,,,,TFDP1
FECH,,RPS24,VPS28,,,,,TFIP11
FNTA,,RPS27A,VPS72,,,,,TFRC
FPGS,,RPS29,WARS1,,,,,TGS1
GABPA,,RPS3,WBP11,,,,,THAP1
GABPB1,,RPS4X,WDHD1,,,,,THAP11
GAK,,RPS5,WDR12,,,,,THG1L
GEMIN7,,RPS6,WDR18,,,,,THOC1
GFPT1,,RPS7,WDR25,,,,,THOC2
GNB2L1,,RPS8,WDR3,,,,,THOC3
GOLGA6A,,RPS9,WDR33,,,,,THOC5
GTF2F2,,RPSA,WDR43,,,,,THOC7
GTF2H1,,RRM1,WDR46,,,,,TICRR
GTF2H2C,,RRM2,WDR5,,,,,TIMELESS
GTF3C2,,RRN3,WDR55,,,,,TIMM10
GTF3C5,,RRP1,WDR7,,,,,TIMM13
HAUS2,,RRP9,WDR74,,,,,TIMM23
HIST1H2AJ,,RRS1,WDR75,,,,,TIMM44
HIST1H2AK,,RSL1D1,WDR77,,,,,TIMM9
HIST1H2AL,,RSL24D1,WDR82,,,,,TINF2
HIST1H2AM,,RTFDC1,WEE1,,,,,TIPIN
HIST1H2BB,,RUVBL1,WTAP,,,,,TLK2
HIST1H2BC,,RUVBL2,XAB2,,,,,TMA16
HIST1H2BD,,SACM1L,XPO1,,,,,TMED10
HIST1H2BE,,SAP30BP,XPO5,,,,,TMED2
HIST1H2BF,,SARS,XRCC5,,,,,TMEM183A
HIST1H2BG,,SART3,XRCC6,,,,,TMEM199
HIST1H2BH,,SBDS,XRN2,,,,,TMEM258
HIST1H2BN,,SCFD1,YAE1,,,,,TNPO3
HIST2H3C,,SDAD1,YARS1,,,,,TOMM20
HIST3H3,,SDE2,YARS2,,,,,TOMM22
HJURP,,SEC13,YBX1,,,,,TOMM40
HMGCR,,SEC61A1,YEATS2,,,,,TONSL
HSP90B1,,SEC61G,YEATS4,,,,,TOP1
IFITM3,,SENP6,YJU2,,,,,TOP2A
IRF4,,SF1,YJU2B,,,,,TOP3A
KIAA1429,,SF3A1,YKT6,,,,,TOPBP1
KRTAP4-11,,SF3A2,YTHDC1,,,,,TP53RK
KRTAP4-2,,SF3A3,YY1,,,,,TPI1
KRTAP9-4,,SF3B2,ZBTB11,,,,,TPR
LAMTOR3,,SF3B3,ZBTB17,,,,,TPRKB
LARS,,SF3B4,ZBTB8OS,,,,,TPT1
LCE1E,,SF3B5,ZC3H13,,,,,TPX2
LIAS,,SFPQ,ZC3H18,,,,,TRA2B
LIN52,,SGOL1,ZC3H8,,,,,TRAIP
LIN9,,SKA1,ZCCHC9,,,,,TRAPPC1
LSM5,,SKA2,ZCRB1,,,,,TRAPPC11
MAGOH,,SKIV2L2,ZFC3H1,,,,,TRAPPC3
MARCH5,,SKP1,ZMAT2,,,,,TRAPPC4
MBTPS1,,SLMO2,ZMAT5,,,,,TRAPPC5
MCL1,,SLU7,ZNF131,,,,,TRAPPC8
MCM3,,SMC1A,ZNF143,,,,,TRIAP1
MED10,,SMC4,ZNF207,,,,,TRIM37
MED18,,SMU1,ZNF335,,,,,TRMT112
MED20,,SNAPC1,ZNF407,,,,,TRMT5
MED23,,SNAPC2,ZNF492,,,,,TRNT1
MED24,,SNAPC3,ZNF830,,,,,TRPM7
MED27,,SNAPC4,ZNHIT2,,,,,TRRAP
MED28,,SNRNP200,ZNHIT6,,,,,TSEN2
MED31,,SNRNP25,ZPR1,,,,,TSEN54
MED7,,SNRNP27,ZRSR2,,,,,TSG101
MFN2,,SNRNP35,,,,,,TSR1
MRPL17,,SNRNP70,,,,,,TSR2
MRPL34,,SNRPA1,,,,,,TTC1
MRPS10,,SNRPB,,,,,,TTC27
MRPS14,,SNRPD1,,,,,,TTF1
MT1E,,SNRPD2,,,,,,TTF2
MTHFD1,,SNRPD3,,,,,,TTI1
MYH9,,SNRPE,,,,,,TTI2
NAA38,,SNRPF,,,,,,TTK
NAMPT,,SNRPG,,,,,,TUBA1B
NAPG,,SNW1,,,,,,TUBB
NARFL,,SOD1,,,,,,TUBG1
NCAPH,,SPC24,,,,,,TUBGCP2
NDC1,,SPC25,,,,,,TUBGCP3
NDUFB3,,SPCS3,,,,,,TUBGCP4
NDUFB9,,SPDL1,,,,,,TUBGCP5
NDUFC2-KCTD14,,SRBD1,,,,,,TUBGCP6
NELFCD,,SRP19,,,,,,TUT1
NHP2L1,,SRP54,,,,,,TXN
NMNAT1,,SRP9,,,,,,TXNL4A
NOC2L,,SRSF1,,,,,,TXNL4B
NOL7,,SRSF2,,,,,,TYMS
NPIPA5,,SRSF3,,,,,,U2AF1
NSL1,,SRSF7,,,,,,U2AF2
NUBP1,,SS18L2,,,,,,U2SURP
NUP155,,SSRP1,,,,,,UBA1
NUP160,,SSU72,,,,,,UBA2
NUP50,,SUPT16H,,,,,,UBA3
NUP98,,SUPT5H,,,,,,UBA5
OGDH,,SUPT6H,,,,,,UBA52
OPA1,,SYMPK,,,,,,UBA6
ORAOV1,,TAF6,,,,,,UBAP1
ORC4,,TARS,,,,,,UBE2C
PCYT1A,,TCEB1,,,,,,UBE2D3
PDCD7,,TCEB2,,,,,,UBE2H
PDPK1,,TCP1,,,,,,UBE2I
PGAM4,,TFIP11,,,,,,UBE2L3
PGGT1B,,THOC2,,,,,,UBE2M
PISD,,THOC3,,,,,,UBE2N
PLGLB2,,THOC5,,,,,,UBIAD1
PMF1-BGLAP,,THOC7,,,,,,UBL5
PNN,,TICRR,,,,,,UBQLN4
PNO1,,TIMELESS,,,,,,UBR4
POLR2A,,TNPO3,,,,,,UBR5
POLR3C,,TONSL,,,,,,UBTF
POP1,,TOP1,,,,,,UFD1
POP4,,TOP2A,,,,,,UMPS
POT1,,TOPBP1,,,,,,UPF1
POU2AF1,,TRAPPC11,,,,,,UPF2
PPCS,,TRAPPC3,,,,,,UQCRB
PPIA,,TRAPPC8,,,,,,UQCRC1
PPIAL4G,,TRNT1,,,,,,UQCRC2
PPIL2,,TSG101,,,,,,UQCRFS1
PPP1R7,,TSR2,,,,,,URB1
PRAMEF5,,TTC27,,,,,,URB2
PRAMEF6,,TUBA1B,,,,,,URI1
PREB,,TUBA1C,,,,,,URM1
PSMC1,,TUBB,,,,,,USE1
PTPN11,,TUBG1,,,,,,USP10
RAC1,,TUBGCP3,,,,,,USP36
RAD1,,TUBGCP4,,,,,,USP37
RAD51C,,TUT1,,,,,,USP39
RARS,,TWISTNB,,,,,,USP5
RASA4,,TXNL4A,,,,,,USP7
RBMX,,U2AF1,,,,,,USP8
RBMX2,,U2AF2,,,,,,USP9X
RBMXL1,,U2SURP,,,,,,USPL1
RCL1,,UBA1,,,,,,UTP11
RFK,,UBA52,,,,,,UTP15
RFWD3,,UBB,,,,,,UTP18
RGPD6,,UBE2I,,,,,,UTP20
RHEB,,UBL5,,,,,,UTP23
RHOQ,,UBR4,,,,,,UTP25
RINT1,,UBTF,,,,,,UTP3
RNF20,,UFD1L,,,,,,UTP4
RPF1,,UPF1,,,,,,UTP6
RPL21,,UPF2,,,,,,UXT
RPL22,,URI1,,,,,,VARS1
RPL28,,USP39,,,,,,VARS2
RPL36A,,USP5,,,,,,VBP1
RPL7L1,,USPL1,,,,,,VCP
RPS7,,UTP15,,,,,,VDAC1
RPSA,,UTP20,,,,,,VHL
RTFDC1,,UTP6,,,,,,VIRMA
SAMM50,,UXT,,,,,,VMP1
SCD,,VARS,,,,,,VPS13D
SDAD1,,VCP,,,,,,VPS16
SDHB,,VPS25,,,,,,VPS18
SDHC,,VPS28,,,,,,VPS25
SGOL1,,WARS,,,,,,VPS28
SHFM1,,WBSCR22,,,,,,VPS33A
SIN3A,,WDHD1,,,,,,VPS37A
SKA2,,WDR12,,,,,,VPS41
SKIV2L2,,WDR3,,,,,,VPS72
SLBP,,WDR33,,,,,,WARS1
SLC35B1,,WDR75,,,,,,WASHC2C
SLC9B1,,WDR77,,,,,,WBP11
SLMO2,,WDR82,,,,,,WDHD1
SMAGP,,WEE1,,,,,,WDR1
SMARCA5,,XAB2,,,,,,WDR12
SNAPC4,,XRCC5,,,,,,WDR18
SNRPB2,,XRCC6,,,,,,WDR25
SRCAP,,YARS,,,,,,WDR26
SRP19,,YBX1,,,,,,WDR3
SRP68,,YRDC,,,,,,WDR33
SSB,,ZNF207,,,,,,WDR43
SSX2,,ZNF335,,,,,,WDR46
SSX4,,,,,,,,WDR5
SUMO2,,,,,,,,WDR55
SUPT4H1,,,,,,,,WDR7
SUZ12,,,,,,,,WDR74
TAF1,,,,,,,,WDR75
TAF10,,,,,,,,WDR77
TAF12,,,,,,,,WDR82
TAF13,,,,,,,,WEE1
TAF1A,,,,,,,,WNK1
TAF2,,,,,,,,WTAP
TAF6L,,,,,,,,XAB2
TCEAL7,,,,,,,,XPO1
TCEB1,,,,,,,,XPO5
TCEB2,,,,,,,,XRCC3
TFIP11,,,,,,,,XRCC5
THAP5,,,,,,,,XRCC6
