gene;Fiper_consensus_PANCancer;ADAM_PANCancer;Fiper_consensus_lung;ADAM_lung;Fiper_consensus_LungNeuro;ADAM_LungNeuro;Fiper_consensus_NSCLC;ADAM_NSCLC;Fiper_consensus_bone;ADAM_bone;Fiper_consensus_Osteosarcoma;ADAM_Osteosarcoma;Fiper_consensus_Ewing;ADAM_Ewing
ACTR10;E;E;E;E;E;E;E;E;E;E;E;E;E;E
ACTR1A;E;NE;NE;E;NE;NE;E;E;E;E;E;E;E;NE
ACTR1B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTR2;E;E;E;E;NE;E;E;E;E;E;E;E;E;E
ACTR3;E;NE;NE;E;NE;NE;E;E;NE;NE;E;NE;NE;NE
ACTR3B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTR3C;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTR5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTR6;E;NE;NE;E;NE;NE;NE;E;E;E;E;NE;E;E
ACTR8;E;NE;NE;E;E;NE;NE;E;NE;NE;E;NE;NE;NE
ACTRT1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTRT2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTRT3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACVR1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACVR1B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACVR1C;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACVR2A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACVR2B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACVRL1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACY1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACY3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACYP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACYP2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADA;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADA2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAD2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM11;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM15;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ADAM17;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
